,drone,x,y,datetime
0,d1,5.812812001255351,43.98863189898596,2023-06-26 14:14:51.909135
0,d1,5.8128119837068235,43.98863188517454,2023-06-26 14:14:55.908358
0,d1,5.812811910963316,43.98863153631354,2023-06-26 14:15:00.931463
0,d1,5.812811779248584,43.98863194667659,2023-06-26 14:15:05.936272
0,d1,5.813028888301364,43.98882597384274,2023-06-26 14:15:10.948585
0,d1,5.813476548579912,43.989239332897895,2023-06-26 14:15:15.952482
0,d1,5.813910046403609,43.98963914543885,2023-06-26 14:15:20.955878
0,d1,5.814340125765914,43.990034997702836,2023-06-26 14:15:25.959152
0,d1,5.814637828105447,43.990306857820336,2023-06-26 14:15:30.963269
0,d1,5.814488314843149,43.9901709789158,2023-06-26 14:15:35.980479
0,d1,5.814038540698238,43.98975701247609,2023-06-26 14:15:40.993526
0,d1,5.81360839794858,43.98936195107886,2023-06-26 14:15:45.997115
0,d1,5.813180309357531,43.988968539091125,2023-06-26 14:15:51.001206
0,d1,5.812797748249947,43.98861829735416,2023-06-26 14:15:56.004762
0,d1,5.812810996064141,43.98863077252443,2023-06-26 14:16:01.008684
0,d1,5.812813638112347,43.98863325278189,2023-06-26 14:16:06.021530
0,d1,5.812812895898538,43.98863260549966,2023-06-26 14:16:11.025356
0,d1,5.812812285580322,43.98863210638461,2023-06-26 14:16:16.028966
0,d1,5.812811981063585,43.98863189304852,2023-06-26 14:16:21.032032
0,d1,5.812812169092796,43.98863182240169,2023-06-26 14:16:26.035936
0,d1,5.812812059568694,43.98863192207664,2023-06-26 14:16:31.049198
0,d1,5.812811874312722,43.988631977809995,2023-06-26 14:16:36.052650
0,d1,5.812812154943425,43.98863181918069,2023-06-26 14:16:41.058093
0,d1,5.8128121794608,43.988631790896555,2023-06-26 14:16:46.061194
0,d1,5.8128119116024415,43.98863195498181,2023-06-26 14:16:51.064088
0,d1,5.812812349222153,43.98863211126193,2023-06-26 14:16:56.078693
0,d1,5.812953067870974,43.98889313384431,2023-06-26 14:17:01.083112
0,d1,5.813225332908527,43.98940076639624,2023-06-26 14:17:06.087749
0,d1,5.81348154578187,43.9898810292164,2023-06-26 14:17:11.092925
0,d1,5.813733751621259,43.99035369070833,2023-06-26 14:17:16.096427
0,d1,5.813984126040557,43.99081772923178,2023-06-26 14:17:21.110446
0,d1,5.814233402758629,43.99127740289959,2023-06-26 14:17:26.115057
0,d1,5.814482159277011,43.99173691753755,2023-06-26 14:17:31.119130
0,d1,5.814730894382595,43.99219668797367,2023-06-26 14:17:36.123623
0,d1,5.814979402001558,43.992657278209116,2023-06-26 14:17:41.128735
0,d1,5.815228236279223,43.9931194072958,2023-06-26 14:17:46.144666
0,d1,5.815476582300496,43.993581341816935,2023-06-26 14:17:51.149271
0,d1,5.815724677945775,43.99404375143051,2023-06-26 14:17:56.153853
0,d1,5.815972736855212,43.994506670987555,2023-06-26 14:18:01.159751
0,d1,5.816220905001237,43.99497085302913,2023-06-26 14:18:06.174743
0,d1,5.816444207201258,43.99539057917398,2023-06-26 14:18:11.188644
0,d1,5.8163990861386115,43.99530833471324,2023-06-26 14:18:16.193430
0,d1,5.81613430084954,43.99482260582931,2023-06-26 14:18:21.197786
0,d1,5.815881075668669,43.99435318830521,2023-06-26 14:18:26.201745
0,d1,5.8156296172020205,43.99388421424058,2023-06-26 14:18:31.216938
0,d1,5.815379575082951,43.99341751424421,2023-06-26 14:18:36.230662
0,d1,5.815130437277426,43.99295266183858,2023-06-26 14:18:41.234745
0,d1,5.814881797403626,43.992488020484586,2023-06-26 14:18:46.239528
0,d1,5.814632964010759,43.99202350676327,2023-06-26 14:18:51.245470
0,d1,5.814383864040979,43.99155882783496,2023-06-26 14:18:56.249208
0,d1,5.814134207092871,43.99109344275799,2023-06-26 14:19:01.264316
0,d1,5.813884939359953,43.99062879938707,2023-06-26 14:19:06.267655
0,d1,5.8136356200264,43.99016416960888,2023-06-26 14:19:11.272065
0,d1,5.813386310460916,43.98969949002456,2023-06-26 14:19:16.276615
0,d1,5.813136246613329,43.989233965482704,2023-06-26 14:19:21.290457
0,d1,5.8128856016184836,43.98876854710591,2023-06-26 14:19:26.304070
0,d1,5.812822721262413,43.98865015998654,2023-06-26 14:19:31.309202
0,d1,5.8128137301190606,43.98863469632698,2023-06-26 14:19:36.313849
0,d1,5.812812239687138,43.98863220622882,2023-06-26 14:19:41.317615
0,d1,5.812811981695842,43.98863186279312,2023-06-26 14:19:46.321885
0,d1,5.812812045327702,43.98863195423858,2023-06-26 14:19:51.334838
0,d1,5.812812196829837,43.98863194048789,2023-06-26 14:19:56.342325
0,d1,5.812811933243048,43.98863176733828,2023-06-26 14:20:01.345761
0,d1,5.812811975539305,43.988631903340135,2023-06-26 14:20:06.349141
0,d1,5.812812142239823,43.98863190338285,2023-06-26 14:20:11.352914
0,d1,5.812811876578171,43.98863171790992,2023-06-26 14:20:16.365206
0,d1,5.812811928133754,43.98863177941152,2023-06-26 14:20:21.368936
0,d1,5.812812118807571,43.98863198231091,2023-06-26 14:20:26.372236
0,d1,5.812851450611321,43.988706282556514,2023-06-26 14:20:31.375984
