metric,metric_label,invalid_runs,duplicated_runs,native_n,native_missing,native_mean,native_median,native_sample_sd,native_min,native_max,native_ci95_low,native_ci95_high,native_shapiro_w,native_shapiro_p,native_skewness,native_iqr_outliers,native_iqr_lower_fence,native_iqr_upper_fence,upf4ros2_n,upf4ros2_missing,upf4ros2_mean,upf4ros2_median,upf4ros2_sample_sd,upf4ros2_min,upf4ros2_max,upf4ros2_ci95_low,upf4ros2_ci95_high,upf4ros2_shapiro_w,upf4ros2_shapiro_p,upf4ros2_skewness,upf4ros2_iqr_outliers,upf4ros2_iqr_lower_fence,upf4ros2_iqr_upper_fence,mean_difference_upf4ros2_minus_native_s,absolute_mean_difference_s,difference_ci95_low_s,difference_ci95_high_s,welch_t_statistic,welch_p_uncorrected,welch_p_holm_corrected,mannwhitney_u_statistic,mannwhitney_p_value,hedges_g
initial_planning_latency_s,Initial planning latency (s),0,0,20,0,0.19463570905,0.19110900549999998,0.023151326275931607,0.167225717,0.257627255,0.18380055482513621,0.20547086327486377,0.8183513233556683,0.0016440012389365617,1.7199150598487396,2,0.1492703575,0.23274210550000002,20,0,0.6674901084,0.6697675089999999,0.06753759289915938,0.480979569,0.762839014,0.6358815419482704,0.6990986748517296,0.9292547354662446,0.14939876506056643,-1.015869265215388,1,0.5497890132500001,0.79929041525,0.47285439935,0.47285439935,0.4398608464682587,0.5058479522317414,29.61910239031829,4.6412481277796195e-20,9.282496255559239e-20,400.0,6.795615128173358e-08,9.180295509182264
first_replanning_latency_s,First replanning latency (s),0,0,20,0,0.1730847392,0.171234875,0.01117865115943979,0.15569858,0.19972444,0.16785296941303957,0.17831650898696044,0.9372406306892886,0.2125442576008964,0.7448445920671682,2,0.153603028125,0.189373797125,20,0,0.0840627313,0.0833951375,0.005822404282444641,0.073058573,0.093759232,0.08133776221581493,0.08678770038418507,0.970803611543157,0.7717521893904253,-0.04593395919270681,0,0.07028949137499999,0.09801692037500001,-0.0890220079,0.0890220079,-0.0947896781976053,-0.08325433760239472,-31.586499927899755,8.694104135343135e-24,2.6082312406029404e-23,0.0,6.795615128173358e-08,-9.790080726202856
second_replanning_latency_s,Second replanning latency (s),0,0,20,0,0.17359819715,0.174399636,0.00950843864759515,0.157917427,0.187749549,0.16914811088036563,0.17804828341963436,0.9463703989892551,0.3153287517670068,-0.2403172326741714,0,0.14376327337499994,0.20248894637500003,20,0,0.08533787525,0.08482339350000001,0.007600394872235416,0.07486868,0.101370896,0.08178078095531383,0.08889496954468618,0.9420103599373615,0.2616307664711848,0.5560413111428341,0,0.06425438512499998,0.104573814125,-0.0882603219,0.0882603219,-0.0937793465634386,-0.08274129723656139,-32.42582047796653,2.274597308437881e-28,9.098389233751523e-28,0.0,6.795615128173358e-08,-10.05022401397045
total_planning_service_time_s,Total planning-service time (s),0,0,20,0,0.5413186454,0.5370177385,0.03118472188813553,0.501935145,0.6180100669999999,0.5267237462961543,0.5559135445038457,0.847535799872692,0.004848205320373865,1.3703242353703495,2,0.4963113502499998,0.5763603522500003,20,0,0.83689071495,0.8424683915,0.0636418857116664,0.657040422,0.923478746,0.8071053955852108,0.8666760343147892,0.9115450166268795,0.06821001985444275,-1.1092018168676192,1,0.7363892014999998,0.9564281695000001,0.29557206955000004,0.29557206955000004,0.2630904455890146,0.32805369351098546,18.651186450854247,3.455579242406251e-17,3.455579242406251e-17,400.0,6.795615128173358e-08,5.78084375952145
