actions,build_add_action_calls,build_add_actions_s,build_add_condition_calls,build_add_conditions_s,build_add_effect_calls,build_add_effects_s,build_add_fluent_calls,build_add_fluents_s,build_add_goal_calls,build_add_goals_s,build_add_object_calls,build_add_objects_s,build_create_action_calls,build_create_actions_s,build_create_fluents_s,build_create_objects_s,build_create_problem_s,build_create_types_s,build_set_durations_s,build_set_initial_value_calls,build_set_initial_values_s,build_total_s,configuration,cpu_s_delta,fluents,goals,loadavg_1m,maxrss_kb_after,maxrss_kb_before,objects,plan_action_count,planner,planning_s,problem_kind,run_id,status,success,supports,total_s
15,15,0.00012744799641950522,161,0.0005940070077485871,125,0.001343847001407994,46,0.0002705529950617347,1,3.9979986468097195e-06,47,0.0002306199985468993,15,0.00016694100304448511,0.00021970400121062994,4.012999852420762e-05,2.8914999347762205e-05,9.67900086834561e-06,0.000138790001074085,205,0.0007612559911649441,0.006905666999955429,direct_upf_node_problem,24.98894100000001,46,1,1.42578125,281368,281368,47,10,Tamer,24.98303728999963,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",12,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,24.995102460001362
15,15,0.00013038400174991693,161,0.0005987169934087433,125,0.0013796479906886816,46,0.00029113700293237343,1,4.1980001697083935e-06,47,0.00023406100081047043,15,0.00016813699767226353,0.00027563799994823057,3.91509965993464e-05,1.816400072129909e-05,8.064998837653548e-06,0.0001436889997421531,205,0.0007652940003026742,0.007076609999785433,direct_upf_node_problem,24.967925000000037,46,1,1.56494140625,281368,281368,47,10,Tamer,24.96260773299946,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",13,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,24.975013655999646
15,15,0.00012892999802716076,161,0.0006100179743953049,125,0.0014342789945658296,46,0.0002629870105010923,1,4.469000487006269e-06,47,0.0002538840053603053,15,0.00016676300219842233,0.00015706500016676728,4.306699520384427e-05,2.09400004678173e-05,7.814998753019609e-06,0.00014032600483915303,205,0.0008076470057858387,0.007289199998922413,direct_upf_node_problem,24.962829999999997,46,1,1.62451171875,281368,281368,47,10,Tamer,24.95593930799987,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",14,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,24.968762606000382
15,15,0.00013292899711814243,161,0.0005905310244997963,125,0.001338480997219449,46,0.00024270699759654235,1,4.579000233206898e-06,47,0.00023052300275594462,15,0.00020072600091225468,0.00020526600019366015,4.0467999497195706e-05,1.726200025586877e-05,7.003000064287335e-06,0.00016239699471043423,205,0.0007758850188110955,0.00704848199893604,direct_upf_node_problem,24.660258,46,1,1.46826171875,281368,281368,47,10,Tamer,24.65442666400122,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",15,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,24.666594922000513
15,15,0.00012728100227832329,161,0.0005828289922646945,125,0.001328397003817372,46,0.0002544920080254087,1,3.936998837161809e-06,47,0.0002277449984831037,15,0.00016446800145786256,0.0002202439991378924,4.0453995097777806e-05,1.73720000020694e-05,6.652000593021512e-06,0.0001356940010737162,205,0.000745902007110999,0.006798823000281118,direct_upf_node_problem,24.624044000000026,46,1,1.41552734375,281368,281368,47,10,Tamer,24.617847302000882,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",16,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,24.629776842000865
15,15,0.00012526299724413548,161,0.0005998319920763606,125,0.001332034005827154,46,0.00026328600506531075,1,4.338999133324251e-06,47,0.00023080300343281124,15,0.0001634270065551391,0.00021993299924361054,3.873300374834798e-05,1.8353999621467665e-05,7.1829999797046185e-06,0.00013716000466956757,205,0.0007564449861092726,0.006863214000986773,direct_upf_node_problem,24.84911699999998,46,1,1.416015625,281368,281368,47,10,Tamer,24.842249184001048,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",17,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,24.85425344400028
15,15,0.00013669700456375722,161,0.0006076909940020414,125,0.001391746995068388,46,0.00026803901164385024,1,4.0380000427830964e-06,47,0.0002352560004510451,15,0.00017188200035889167,0.00022319799973047338,3.8544003473361954e-05,1.6852000044309534e-05,7.204000212368555e-06,0.0001399040011165198,205,0.0007590230088680983,0.007059741001285147,direct_upf_node_problem,25.045710000000042,46,1,1.56396484375,281368,281368,47,10,Tamer,25.040797669000312,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",18,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,25.053189566000583
15,15,0.00013216100160207134,161,0.0005932260010013124,125,0.0013738789948547492,46,0.0002508750039851293,1,4.638000973500311e-06,47,0.00023771100313751958,15,0.00017152900545625016,0.0002195410015701782,3.921100505976938e-05,1.723300010780804e-05,7.1739996201358736e-06,0.0001404209997417638,205,0.0007730189990979852,0.007026379000308225,direct_upf_node_problem,24.83886499999994,46,1,1.611328125,281368,281368,47,10,Tamer,24.833374842999547,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",19,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,24.84570211800019
15,15,0.00012613399849215057,161,0.000582154007133795,125,0.0013509999862435507,46,0.00026752899429993704,1,4.27799932367634e-06,47,0.00022909900144441053,15,0.00016775499898358248,0.00015108299885469023,3.755499710678123e-05,1.653099934628699e-05,7.3239989433204755e-06,0.0001366240012430353,205,0.0007550230093329446,0.0068242500001360895,direct_upf_node_problem,24.298801999999966,46,1,1.68017578125,281368,281368,47,10,Tamer,24.295092575001036,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",20,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,24.307125330000417
15,15,0.00013335900257516187,161,0.0006003309881634777,125,0.0013592049817816587,46,0.00026448400240042247,1,4.288000127417035e-06,47,0.00023787899772287346,15,0.0002059780017589219,0.00021169699903111905,3.864099380734842e-05,1.7391999790561385e-05,7.554001058451831e-06,0.00014733699390490074,205,0.0007732870235486189,0.007043333000183338,direct_upf_node_problem,24.882179000000008,46,1,1.76611328125,281368,281368,47,10,Tamer,24.880040018999352,"PROBLEM_CLASS: ['ACTION_BASED'] | PROBLEM_TYPE: ['GENERAL_NUMERIC_PLANNING'] | TIME: ['CONTINUOUS_TIME'] | EXPRESSION_DURATION: ['REAL_TYPE_DURATIONS', 'INT_TYPE_DURATIONS', 'STATIC_FLUENTS_IN_DURATIONS'] | CONDITIONS_KIND: ['NEGATIVE_CONDITIONS'] | EFFECTS_KIND: ['DECREASE_EFFECTS', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'INCREASE_EFFECTS'] | TYPING: ['FLAT_TYPING'] | FLUENTS_TYPE: ['REAL_FLUENTS']",21,PlanGenerationResultStatus.SOLVED_SATISFICING,True,True,24.892354122999677
